Date,DJIA
12/31/1958,583.65
1/2/1959,587.59
1/5/1959,590.17
1/6/1959,591.37
1/7/1959,583.15
1/8/1959,588.14
1/9/1959,592.72
1/12/1959,592.64
1/13/1959,590.7
1/14/1959,591.64
1/15/1959,594.81
1/16/1959,595.75
1/19/1959,594.4
1/20/1959,595.69
1/21/1959,597.66
1/22/1959,595.69
1/23/1959,596.07
1/26/1959,592.37
1/27/1959,594.66
1/28/1959,588.53
1/29/1959,590.4
1/30/1959,593.96
2/2/1959,592.23
2/3/1959,592.34
2/4/1959,589.38
2/5/1959,586.12
2/6/1959,582.33
2/9/1959,574.46
2/10/1959,582.65
2/11/1959,584.03
2/12/1959,581.89
2/13/1959,587.97
2/16/1959,587.91
2/17/1959,586.71
2/18/1959,588.82
2/19/1959,595.04
2/20/1959,602.21
2/24/1959,602.91
2/25/1959,601.18
2/26/1959,602
2/27/1959,603.5
3/2/1959,605.03
3/3/1959,610.78
3/4/1959,611.84
3/5/1959,611.87
3/6/1959,609.52
3/9/1959,609.96
3/10/1959,611.14
3/11/1959,611.49
3/12/1959,613.75
3/13/1959,614.69
3/16/1959,607.88
3/17/1959,612.69
3/18/1959,610.87
3/19/1959,610.02
3/20/1959,610.37
3/23/1959,605.56
3/24/1959,606.73
3/25/1959,606.47
3/26/1959,606.58
3/30/1959,602.65
3/31/1959,601.71
4/1/1959,602.94
4/2/1959,607.52
4/3/1959,611.93
4/6/1959,611.16
4/7/1959,610.34
4/8/1959,606.44
4/9/1959,605.5
4/10/1959,605.97
4/13/1959,607.76
4/14/1959,609.53
4/15/1959,612.5
4/16/1959,617.58
4/17/1959,624.06
4/20/1959,627.08
4/21/1959,629.23
4/22/1959,625.15
4/23/1959,623.27
4/24/1959,627.39
4/27/1959,629.87
4/28/1959,628.87
4/29/1959,625.87
4/30/1959,623.75
5/1/1959,625.06
5/4/1959,625.06
5/5/1959,625.9
5/6/1959,624.39
5/7/1959,615.64
5/8/1959,621.36
5/11/1959,625.03
5/12/1959,627.66
5/13/1959,633.05
5/14/1959,637.04
5/15/1959,634.53
5/18/1959,633.53
5/19/1959,635.44
5/20/1959,631.87
5/21/1959,631.65
5/22/1959,634.74
5/25/1959,632.35
5/26/1959,632.38
5/27/1959,636.68
5/28/1959,639.58
5/29/1959,643.79
6/1/1959,643.51
6/2/1959,637.45
6/3/1959,637.39
6/4/1959,630.54
6/5/1959,629.98
6/8/1959,621.62
6/9/1959,617.62
6/10/1959,627.17
6/11/1959,627.49
6/12/1959,627.42
6/15/1959,624.59
6/16/1959,621.4
6/17/1959,628.05
6/18/1959,629.41
6/19/1959,629.76
6/22/1959,631.71
6/23/1959,630.73
6/24/1959,634.27
6/25/1959,637.23
6/26/1959,639.25
6/29/1959,643.06
6/30/1959,643.6
7/1/1959,650.88
7/2/1959,654.76
7/6/1959,660.09
7/7/1959,663.21
7/8/1959,663.81
7/9/1959,663.09
7/10/1959,663.56
7/13/1959,657.35
7/14/1959,657.7
7/15/1959,660.57
7/16/1959,658.29
7/17/1959,657.13
7/20/1959,654.54
7/21/1959,661.48
7/22/1959,664.38
7/23/1959,664.63
7/24/1959,663.72
7/27/1959,669.08
7/28/1959,672.04
7/29/1959,673.18
7/30/1959,673.37
7/31/1959,674.88
8/3/1959,678.1
8/4/1959,676.3
8/5/1959,672.33
8/6/1959,671.98
8/7/1959,668.57
8/10/1959,653.79
8/11/1959,658.07
8/12/1959,655.14
8/13/1959,655.43
8/14/1959,658.74
8/17/1959,658.42
8/18/1959,650.79
8/19/1959,646.53
8/20/1959,655.02
8/21/1959,655.39
8/24/1959,653.22
8/25/1959,655.96
8/26/1959,657.57
8/27/1959,663.34
8/28/1959,663.06
8/31/1959,664.41
9/1/1959,655.9
9/2/1959,655.8
9/3/1959,645.9
9/4/1959,652.18
9/8/1959,642.69
9/9/1959,637.67
9/10/1959,633.38
9/11/1959,637.36
9/14/1959,633.79
9/15/1959,630.8
9/16/1959,632.41
9/17/1959,629
9/18/1959,625.78
9/21/1959,618.15
9/22/1959,616.45
9/23/1959,624.02
9/24/1959,632.85
9/25/1959,632.59
9/28/1959,636.47
9/29/1959,640.1
9/30/1959,631.68
10/1/1959,633.6
10/2/1959,636.57
10/5/1959,637.01
10/6/1959,636.06
10/7/1959,635.37
10/8/1959,633.04
10/9/1959,636.98
10/12/1959,638.55
10/13/1959,637.83
10/14/1959,634.27
10/15/1959,637.48
10/16/1959,643.22
10/19/1959,639.66
10/20/1959,635.37
10/21/1959,632.69
10/22/1959,625.59
10/23/1959,633.07
10/26/1959,637.61
10/27/1959,642.18
10/28/1959,643.6
10/29/1959,645.11
10/30/1959,646.6
11/2/1959,645.46
11/4/1959,645.74
11/5/1959,647.57
11/6/1959,650.92
11/9/1959,650.92
11/10/1959,648.14
11/11/1959,647.32
11/12/1959,644.26
11/13/1959,641.71
11/16/1959,634.46
11/17/1959,635.62
11/18/1959,641.99
11/19/1959,643.32
11/20/1959,645.46
11/23/1959,646.75
11/24/1959,649.69
11/25/1959,651.1
11/27/1959,652.52
11/30/1959,659.18
12/1/1959,664.38
12/2/1959,661.29
12/3/1959,662.96
12/4/1959,664
12/7/1959,665.67
12/8/1959,675.39
12/9/1959,671.26
12/10/1959,672.74
12/11/1959,670.5
12/14/1959,675.07
12/15/1959,673.78
12/16/1959,675.2
12/17/1959,673.9
12/18/1959,676.65
12/21/1959,675.92
12/22/1959,671.82
12/23/1959,670.18
12/24/1959,670.69
12/28/1959,669.77
12/29/1959,672.23
12/30/1959,676.97
12/31/1959,679.36
1/4/1960,679.06
1/5/1960,685.47
1/6/1960,682.62
1/7/1960,677.66
1/8/1960,675.73
1/11/1960,667.16
1/12/1960,660.43
1/13/1960,656.44
1/14/1960,660.53
1/15/1960,659.68
1/18/1960,653.86
1/19/1960,645.07
1/20/1960,643.69
1/21/1960,645.43
1/22/1960,645.85
1/25/1960,639.07
1/26/1960,639.84
1/27/1960,637.67
1/28/1960,629.84
1/29/1960,622.62
2/1/1960,626.2
2/2/1960,636.92
2/3/1960,630.97
2/4/1960,631.14
2/5/1960,626.77
2/8/1960,619.43
2/9/1960,628.45
2/10/1960,623.36
2/11/1960,618.57
2/12/1960,622.23
2/15/1960,617.58
2/16/1960,611.33
2/17/1960,613.55
2/18/1960,622.19
2/19/1960,628.45
2/23/1960,626.19
2/24/1960,623.71
2/25/1960,628.51
2/26/1960,632
2/29/1960,630.12
3/1/1960,626.87
3/2/1960,621.37
3/3/1960,612.05
3/4/1960,609.79
3/7/1960,604.02
3/8/1960,599.1
3/9/1960,607.16
3/10/1960,602.31
3/11/1960,605.83
3/14/1960,606.79
3/15/1960,612.18
3/16/1960,616.73
3/17/1960,615.09
3/18/1960,616.42
3/21/1960,617
3/22/1960,618.09
3/23/1960,622.06
3/24/1960,624
3/25/1960,622.47
3/28/1960,621.78
3/29/1960,620.35
3/30/1960,619.94
3/31/1960,616.59
4/1/1960,615.98
4/4/1960,618.54
4/5/1960,622.19
4/6/1960,628.31
4/7/1960,629.03
